nazione,anno,tasso_disoccupazione_giovanile
RO,2015,17.2
MT,2015,8.6
HR,2015,29.8
FI,2015,17.4
HU,2015,11.8
IE,2015,16.6
EU27_2020,2015,17.6
TR,2015,16.0
AT,2015,9.2
IS,2015,7.1
ES,2015,36.7
SK,2015,17.5
IT,2015,30.0
EL,2015,41.3
BE,2015,15.9
LT,2015,12.7
LU,2015,11.9
EE,2015,9.5
LV,2015,12.9
SI,2015,16.2
EA20,2015,18.7
ME,2015,29.2
MK,2015,42.5
SE,2015,15.1
BG,2015,16.0
DK,2015,10.9
FR,2015,18.9
DE,2015,6.9
NL,2015,10.6
NO,2015,8.9
CZ,2015,9.0
RS,2015,36.0
PL,2015,14.5
CY,2015,24.5
CH,2015,7.3
PT,2015,23.0
FR,2016,18.4
AT,2016,9.8
RO,2016,15.5
EL,2016,38.8
BE,2016,14.5
LT,2016,10.4
PT,2016,21.2
CH,2016,7.5
LU,2016,10.6
CY,2016,21.8
SK,2016,15.5
EE,2016,10.3
HR,2016,24.4
ES,2016,33.3
PL,2016,12.0
SI,2016,14.7
LV,2016,13.4
IS,2016,5.2
RS,2016,31.2
CZ,2016,7.4
EA20,2016,17.4
FI,2016,15.8
NO,2016,9.4
ME,2016,28.8
HU,2016,8.8
IE,2016,13.9
NL,2016,10.0
SE,2016,13.7
MK,2016,40.6
DE,2016,6.5
TR,2016,17.2
DK,2016,11.1
EU27_2020,2016,16.1
BG,2016,13.9
MT,2016,7.4
IT,2016,28.5
BG,2017,11.6
IT,2017,26.7
MT,2017,7.3
EU27_2020,2017,14.5
DK,2017,11.3
DE,2017,6.2
TR,2017,17.7
HU,2017,7.0
NL,2017,8.5
ME,2017,26.5
RS,2017,28.0
SE,2017,13.0
IE,2017,11.5
CZ,2017,5.1
EA20,2017,15.7
SK,2017,13.3
NO,2017,8.1
LV,2017,11.6
FI,2017,15.2
HR,2017,21.8
ES,2017,29.4
LU,2017,9.4
PL,2017,9.5
AT,2017,8.7
EE,2017,8.2
CY,2017,18.8
RO,2017,14.0
BE,2017,13.6
IS,2017,6.1
LT,2017,8.6
PT,2017,17.0
FR,2017,16.9
SI,2017,10.8
CH,2017,7.0
EL,2017,36.1
MK,2017,39.2
CH,2018,6.8
MK,2018,37.0
EL,2018,33.0
SI,2018,8.9
IS,2018,5.1
LT,2018,7.5
EE,2018,7.5
BE,2018,11.0
LU,2018,10.1
ES,2018,26.2
LV,2018,10.6
EA20,2018,14.3
SK,2018,10.9
IE,2018,10.6
SE,2018,12.5
ME,2018,26.0
DK,2018,9.9
MT,2018,5.6
DE,2018,5.7
EU27_2020,2018,13.1
BG,2018,9.9
HU,2018,6.4
RS,2018,25.8
NL,2018,7.1
TR,2018,17.8
HR,2018,17.5
AT,2018,8.0
CZ,2018,4.4
NO,2018,7.7
FI,2018,13.1
RO,2018,12.2
PL,2018,7.7
CY,2018,14.7
FR,2018,16.4
PT,2018,14.2
IT,2018,24.8
IE,2019,9.6
ES,2019,24.7
DE,2019,5.2
PL,2019,6.5
FR,2019,15.2
CY,2019,12.1
NO,2019,7.6
CZ,2019,3.7
CH,2019,6.6
RO,2019,12.3
NL,2019,7.1
MT,2019,6.9
FI,2019,12.5
MK,2019,30.5
HR,2019,13.4
BG,2019,8.7
DK,2019,9.7
ME,2019,22.3
TR,2019,22.0
AT,2019,7.3
RS,2019,22.7
LV,2019,9.3
EA20,2019,13.2
LU,2019,10.8
HU,2019,7.1
SE,2019,14.0
EE,2019,7.6
PT,2019,12.7
LT,2019,8.7
BE,2019,10.0
EU27_2020,2019,12.2
SI,2019,7.5
IT,2019,22.4
EL,2019,29.8
IS,2019,7.6
SK,2019,9.6
SE,2020,17.0
HU,2020,8.4
SK,2020,12.3
DE,2020,6.7
ES,2020,29.2
IE,2020,12.2
MK,2020,29.6
EE,2020,12.7
TR,2020,21.7
IS,2020,9.0
BG,2020,10.7
HR,2020,16.2
PL,2020,7.1
DK,2020,11.0
MT,2020,7.8
ME,2020,30.7
EL,2020,31.7
FR,2020,15.6
RO,2020,13.6
IT,2020,22.5
AT,2020,9.5
CY,2020,13.1
SI,2020,9.7
RS,2020,21.6
PT,2020,15.9
BE,2020,11.0
NL,2020,8.9
LV,2020,13.2
EA20,2020,14.8
LT,2020,13.4
CZ,2020,5.3
CH,2020,6.9
NO,2020,9.2
LU,2020,13.3
EU27_2020,2020,13.7
FI,2020,15.1
CH,2021,7.0
BG,2021,10.4
FR,2021,14.6
SE,2021,17.5
LU,2021,9.9
NO,2021,9.3
BE,2021,12.2
LT,2021,10.0
TR,2021,20.0
EA20,2021,13.9
AT,2021,8.9
EU27_2020,2021,13.1
NL,2021,7.3
EE,2021,10.9
LV,2021,11.2
PT,2021,15.6
FI,2021,13.2
RS,2021,19.7
CY,2021,14.0
IT,2021,22.3
CZ,2021,5.2
DK,2021,9.5
SK,2021,12.9
EL,2021,28.4
SI,2021,9.6
HR,2021,16.3
PL,2021,7.3
IS,2021,10.2
ES,2021,27.2
BA,2021,30.6
RO,2021,13.1
DE,2021,6.0
IE,2021,11.2
MT,2021,7.0
HU,2021,8.2
IE,2022,8.3
CH,2022,6.0
MT,2022,6.7
BG,2022,7.9
RO,2022,14.1
DE,2022,5.0
HR,2022,13.5
CZ,2022,4.2
DK,2022,8.6
RS,2022,17.2
LV,2022,11.1
EU27_2020,2022,11.4
NL,2022,6.3
EA20,2022,11.9
TR,2022,17.6
BE,2022,11.4
FR,2022,13.7
LU,2022,9.0
PT,2022,13.5
HU,2022,6.7
SE,2022,15.3
LT,2022,8.3
NO,2022,7.3
EE,2022,10.9
AT,2022,7.5
CY,2022,13.5
SK,2022,11.4
IT,2022,18.0
ES,2022,22.3
EL,2022,24.3
SI,2022,8.2
IS,2022,7.0
PL,2022,6.7
BA,2022,27.8
FI,2022,11.2
FI,2023,12.7
EA20,2023,11.7
TR,2023,15.7
FR,2023,13.6
PL,2023,6.7
HR,2023,13.0
NO,2023,8.1
CY,2023,11.8
PT,2023,14.2
EU27_2020,2023,11.2
HU,2023,8.0
SK,2023,11.6
ES,2023,21.4
BG,2023,8.0
NL,2023,6.7
CZ,2023,5.2
IE,2023,8.6
AT,2023,8.2
RO,2023,13.0
EL,2023,21.8
MT,2023,6.4
SI,2023,7.5
DE,2023,5.0
IS,2023,7.3
DK,2023,10.1
IT,2023,16.7
BA,2023,23.1
LV,2023,9.5
RS,2023,18.5
EE,2023,11.6
SE,2023,16.0
BE,2023,11.6
LT,2023,9.8
LU,2023,10.4
CH,2023,6.3
EA20,2024,11.7
TR,2024,14.7
LU,2024,13.0
BE,2024,12.4
SE,2024,17.3
RS,2024,16.8
EE,2024,14.3
BA,2024,21.1
LV,2024,11.2
IT,2024,14.7
DK,2024,12.0
IS,2024,6.6
DE,2024,5.5
FI,2024,14.9
SI,2024,8.0
RO,2024,14.1
EL,2024,19.1
AT,2024,8.2
MT,2024,6.0
IE,2024,8.6
CZ,2024,5.9
BG,2024,7.7
ES,2024,20.2
NL,2024,7.0
SK,2024,11.2
HU,2024,9.2
CY,2024,10.0
PT,2024,14.2
HR,2024,11.9
NO,2024,8.6
EU27_2020,2024,11.4
FR,2024,14.4
PL,2024,6.7
CH,2024,6.8
LT,2024,11.5
