nazione,anno,tasso_disoccupazione_medio
RO,2015,8.4
MT,2015,5.4
HR,2015,16.2
FI,2015,9.4
HU,2015,6.6
IE,2015,9.9
EU27_2020,2015,10.2
TR,2015,10.3
AT,2015,6.1
IS,2015,4.0
ES,2015,22.1
SK,2015,11.5
IT,2015,12.0
EL,2015,25.0
BE,2015,8.7
LT,2015,9.1
LU,2015,6.7
EE,2015,6.4
LV,2015,9.9
SI,2015,9.0
EA20,2015,11.0
ME,2015,17.6
MK,2015,26.1
SE,2015,7.5
BG,2015,10.1
DK,2015,6.3
FR,2015,10.3
DE,2015,4.4
NL,2015,7.9
NO,2015,4.7
CZ,2015,5.1
RS,2015,19.0
PL,2015,7.7
CY,2015,15.0
CH,2015,4.8
PT,2015,13.0
FR,2016,10.1
AT,2016,6.5
RO,2016,7.2
EL,2016,23.9
BE,2016,7.9
LT,2016,7.9
PT,2016,11.5
CH,2016,5.0
LU,2016,6.3
CY,2016,13.0
SK,2016,9.6
EE,2016,6.8
HR,2016,13.0
ES,2016,19.6
PL,2016,6.3
SI,2016,8.0
LV,2016,9.7
IS,2016,3.0
RS,2016,16.5
CZ,2016,4.0
EA20,2016,10.1
FI,2016,8.9
NO,2016,4.9
ME,2016,17.8
HU,2016,5.0
IE,2016,8.4
NL,2016,7.0
SE,2016,7.1
MK,2016,23.7
DE,2016,3.9
TR,2016,10.9
DK,2016,6.0
EU27_2020,2016,9.3
BG,2016,8.6
MT,2016,4.7
IT,2016,11.7
BG,2017,7.2
IT,2017,11.3
MT,2017,4.0
EU27_2020,2017,8.3
DK,2017,5.8
DE,2017,3.5
TR,2017,10.9
HU,2017,4.0
NL,2017,5.9
ME,2017,16.1
RS,2017,14.6
SE,2017,6.8
IE,2017,6.7
CZ,2017,2.9
EA20,2017,9.1
SK,2017,8.1
NO,2017,4.4
LV,2017,8.7
FI,2017,8.7
HR,2017,11.1
ES,2017,17.2
LU,2017,5.5
PL,2017,5.0
AT,2017,5.9
EE,2017,5.8
CY,2017,11.1
RO,2017,6.1
BE,2017,7.2
IS,2017,2.7
LT,2017,7.1
PT,2017,9.2
FR,2017,9.4
SI,2017,6.6
CH,2017,4.8
EL,2017,21.8
MK,2017,22.4
CH,2018,4.7
MK,2018,20.8
EL,2018,19.7
SI,2018,5.1
IS,2018,2.7
LT,2018,6.2
EE,2018,5.4
BE,2018,6.0
LU,2018,5.6
ES,2018,15.3
LV,2018,7.4
EA20,2018,8.2
SK,2018,6.5
IE,2018,5.8
SE,2018,6.5
ME,2018,15.2
DK,2018,5.1
MT,2018,4.0
DE,2018,3.2
EU27_2020,2018,7.4
BG,2018,6.2
HU,2018,3.6
RS,2018,13.8
NL,2018,4.9
TR,2018,10.9
HR,2018,8.3
AT,2018,5.2
CZ,2018,2.2
NO,2018,4.0
FI,2018,7.5
RO,2018,5.3
PL,2018,3.9
CY,2018,8.4
FR,2018,9.0
PT,2018,7.2
IT,2018,10.6
IE,2019,5.0
ES,2019,14.1
DE,2019,2.9
PL,2019,3.3
FR,2019,8.4
CY,2019,7.2
NO,2019,3.9
CZ,2019,2.0
CH,2019,4.4
RO,2019,4.9
NL,2019,4.4
MT,2019,4.1
FI,2019,6.8
MK,2019,17.3
HR,2019,6.6
BG,2019,5.2
DK,2019,5.0
ME,2019,15.2
TR,2019,13.7
AT,2019,4.8
RS,2019,11.3
LV,2019,6.3
EA20,2019,7.6
LU,2019,5.6
HU,2019,3.3
SE,2019,6.9
EE,2019,4.5
PT,2019,6.6
LT,2019,6.3
BE,2019,5.5
EU27_2020,2019,6.8
SI,2019,4.4
IT,2019,9.9
EL,2019,17.9
IS,2019,3.5
SK,2019,5.7
SE,2020,8.5
HU,2020,4.1
SK,2020,6.7
DE,2020,3.6
ES,2020,15.5
IE,2020,5.9
MK,2020,16.4
EE,2020,6.9
TR,2020,13.2
IS,2020,5.5
BG,2020,6.1
HR,2020,7.4
PL,2020,3.2
DK,2020,5.6
MT,2020,4.9
ME,2020,17.9
EL,2020,17.6
FR,2020,8.0
RO,2020,6.1
IT,2020,9.3
AT,2020,6.0
CY,2020,7.6
SI,2020,5.0
RS,2020,9.8
PT,2020,7.1
BE,2020,5.8
NL,2020,4.9
LV,2020,8.1
EA20,2020,8.0
LT,2020,8.5
CZ,2020,2.6
CH,2020,4.8
NO,2020,4.7
LU,2020,6.8
EU27_2020,2020,7.2
FI,2020,7.7
CH,2021,5.1
BG,2021,5.2
FR,2021,7.9
SE,2021,8.9
LU,2021,5.3
NO,2021,4.4
BE,2021,6.3
LT,2021,7.1
TR,2021,12.0
EA20,2021,7.8
AT,2021,6.2
EU27_2020,2021,7.1
NL,2021,4.2
EE,2021,6.2
LV,2021,7.6
PT,2021,6.7
FI,2021,7.7
RS,2021,11.2
CY,2021,7.2
IT,2021,9.5
CZ,2021,2.8
DK,2021,5.1
SK,2021,6.8
EL,2021,14.7
SI,2021,4.8
HR,2021,7.5
PL,2021,3.4
IS,2021,6.1
ES,2021,14.9
BA,2021,17.4
RO,2021,5.6
DE,2021,3.6
IE,2021,6.2
MT,2021,3.8
HU,2021,4.0
IE,2022,4.5
CH,2022,4.1
MT,2022,3.5
BG,2022,4.2
RO,2022,5.6
DE,2022,3.1
HR,2022,6.8
CZ,2022,2.2
DK,2022,4.5
RS,2022,9.6
LV,2022,6.9
EU27_2020,2022,6.2
NL,2022,3.5
EA20,2022,6.8
TR,2022,10.5
BE,2022,5.6
FR,2022,7.3
LU,2022,4.6
PT,2022,6.2
HU,2022,3.6
SE,2022,7.5
LT,2022,6.0
NO,2022,3.2
EE,2022,5.6
AT,2022,4.8
CY,2022,6.3
SK,2022,6.1
IT,2022,8.1
ES,2022,13.0
EL,2022,12.5
SI,2022,4.0
IS,2022,3.8
PL,2022,2.9
BA,2022,15.4
FI,2022,6.8
FI,2023,7.2
EA20,2023,6.6
TR,2023,9.4
FR,2023,7.3
PL,2023,2.8
HR,2023,6.1
NO,2023,3.6
CY,2023,5.8
PT,2023,6.5
EU27_2020,2023,6.1
HU,2023,4.1
SK,2023,5.8
ES,2023,12.2
BG,2023,4.3
NL,2023,3.6
CZ,2023,2.6
IE,2023,4.3
AT,2023,5.1
RO,2023,5.6
EL,2023,11.1
MT,2023,3.5
SI,2023,3.7
DE,2023,3.1
IS,2023,3.5
DK,2023,5.1
IT,2023,7.7
BA,2023,13.2
LV,2023,6.5
RS,2023,9.5
EE,2023,6.4
SE,2023,7.7
BE,2023,5.5
LT,2023,6.9
