nazione,anno,tasso_disoccupazione_donne,tasso_disoccupazione_uomini,gap_di_genere
RO,2015,7.4,9.1,-1.6999999999999993
MT,2015,5.4,5.4,0.0
HR,2015,17.0,15.5,1.5
FI,2015,8.6,10.2,-1.5999999999999996
HU,2015,6.6,6.6,0.0
IE,2015,8.9,10.8,-1.9000000000000004
EU27_2020,2015,10.3,10.1,0.20000000000000107
TR,2015,12.6,9.2,3.4000000000000004
AT,2015,5.6,6.7,-1.1000000000000005
IS,2015,4.1,3.9,0.19999999999999973
ES,2015,23.6,20.8,2.8000000000000007
SK,2015,13.0,10.1,2.9000000000000004
IT,2015,12.7,11.5,1.1999999999999993
EL,2015,29.0,21.8,7.1999999999999993
BE,2015,7.9,9.3,-1.4000000000000004
LT,2015,8.2,10.1,-1.9000000000000004
LU,2015,7.4,6.1,1.3000000000000007
EE,2015,6.2,6.5,-0.29999999999999982
LV,2015,8.7,11.1,-2.4000000000000004
SI,2015,10.1,8.1,2.0
EA20,2015,11.2,10.8,0.39999999999999858
ME,2015,17.3,17.8,-0.5
MK,2015,25.1,26.8,-1.6999999999999993
SE,2015,7.4,7.6,-0.19999999999999929
BG,2015,9.3,10.8,-1.5
DK,2015,6.5,6.1,0.40000000000000036
FR,2015,9.9,10.8,-0.90000000000000036
DE,2015,4.0,4.7,-0.70000000000000018
NL,2015,8.4,7.4,1.0
NO,2015,4.3,5.0,-0.70000000000000018
CZ,2015,6.1,4.2,1.8999999999999995
RS,2015,20.2,18.1,2.0999999999999979
PL,2015,7.8,7.5,0.29999999999999982
CY,2015,14.8,15.1,-0.29999999999999893
CH,2015,4.9,4.7,0.20000000000000018
PT,2015,13.1,12.8,0.29999999999999893
FR,2016,9.8,10.3,-0.5
AT,2016,5.8,7.0,-1.2000000000000002
RO,2016,6.2,7.9,-1.7000000000000002
EL,2016,28.5,20.2,8.3
BE,2016,7.6,8.2,-0.59999999999999964
LT,2016,6.7,9.1,-2.3999999999999995
PT,2016,11.4,11.6,-0.19999999999999929
CH,2016,5.0,4.9,0.099999999999999645
LU,2016,6.6,6.0,0.59999999999999964
CY,2016,13.4,12.7,0.70000000000000107
SK,2016,10.9,8.6,2.3000000000000007
EE,2016,6.1,7.6,-1.5
HR,2016,13.7,12.4,1.2999999999999989
ES,2016,21.4,18.1,3.2999999999999972
PL,2016,6.3,6.2,0.099999999999999645
SI,2016,8.6,7.5,1.0999999999999996
LV,2016,8.5,11.0,-2.5
IS,2016,3.0,2.9,0.10000000000000009
RS,2016,17.4,15.8,1.5999999999999979
CZ,2016,4.7,3.4,1.3000000000000003
EA20,2016,10.5,9.8,0.69999999999999929
FI,2016,8.4,9.4,-1.0
NO,2016,4.2,5.5,-1.2999999999999998
ME,2016,17.1,18.3,-1.1999999999999993
HU,2016,4.8,5.1,-0.29999999999999982
IE,2016,7.6,9.1,-1.5
NL,2016,7.6,6.5,1.0999999999999996
SE,2016,6.7,7.4,-0.70000000000000018
MK,2016,22.8,24.4,-1.5999999999999979
DE,2016,3.5,4.2,-0.70000000000000018
TR,2016,13.7,9.6,4.1
DK,2016,6.4,5.6,0.80000000000000071
EU27_2020,2016,9.5,9.0,0.5
BG,2016,7.9,9.2,-1.2999999999999989
MT,2016,5.2,4.4,0.79999999999999982
IT,2016,12.8,11.0,1.8000000000000007
