nazione,anno,classificazione_settore,variazione_settore_annua
AT,2015,Accommodation and food service activities,-1.5
AT,2016,Accommodation and food service activities,4.6
AT,2017,Accommodation and food service activities,-1.0
AT,2018,Accommodation and food service activities,4.7
AT,2019,Accommodation and food service activities,1.7
AT,2020,Accommodation and food service activities,-33.3
AT,2021,Accommodation and food service activities,0.6
AT,2022,Accommodation and food service activities,31.0
AT,2023,Accommodation and food service activities,3.3
AT,2024,Accommodation and food service activities,2.5
AT,2015,Activities auxiliary to financial services and insurance activities,-0.5
AT,2016,Activities auxiliary to financial services and insurance activities,5.3
AT,2017,Activities auxiliary to financial services and insurance activities,-3.3
AT,2018,Activities auxiliary to financial services and insurance activities,1.4
AT,2019,Activities auxiliary to financial services and insurance activities,4.4
AT,2020,Activities auxiliary to financial services and insurance activities,-6.0
AT,2021,Activities auxiliary to financial services and insurance activities,7.0
AT,2022,Activities auxiliary to financial services and insurance activities,3.3
AT,2023,Activities auxiliary to financial services and insurance activities,1.4
AT,2024,Activities auxiliary to financial services and insurance activities,0.9
AT,2015,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,-11.8
AT,2016,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,18.2
AT,2017,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,-11.3
AT,2018,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,7.1
AT,2019,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,8.6
AT,2020,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,-23.3
AT,2021,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.1
AT,2022,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,-3.6
AT,2023,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,-10.0
AT,2024,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2.9
AT,2015,Activities of membership organisations,-2.6
AT,2016,Activities of membership organisations,1.9
AT,2017,Activities of membership organisations,11.2
AT,2018,Activities of membership organisations,5.0
AT,2019,Activities of membership organisations,-0.3
AT,2020,Activities of membership organisations,-11.9
AT,2021,Activities of membership organisations,-6.0
AT,2022,Activities of membership organisations,0.9
AT,2023,Activities of membership organisations,10.9
AT,2024,Activities of membership organisations,-2.8
AT,2015,Administrative and support service activities,-1.9
AT,2016,Administrative and support service activities,6.0
AT,2017,Administrative and support service activities,7.5
AT,2018,Administrative and support service activities,3.8
AT,2019,Administrative and support service activities,1.3
AT,2020,Administrative and support service activities,-16.4
AT,2021,Administrative and support service activities,10.1
AT,2022,Administrative and support service activities,5.3
AT,2023,Administrative and support service activities,-1.9
AT,2024,Administrative and support service activities,-2.1
AT,2015,Advertising and market research,-1.3
AT,2016,Advertising and market research,0.7
AT,2017,Advertising and market research,0.0
AT,2018,Advertising and market research,0.9
AT,2019,Advertising and market research,1.1
AT,2020,Advertising and market research,-10.3
AT,2021,Advertising and market research,6.9
AT,2022,Advertising and market research,2.8
AT,2023,Advertising and market research,2.6
AT,2024,Advertising and market research,0.5
AT,2015,"Advertising and market research; other professional, scientific and technical activities; veterinary activities",0.2
AT,2016,"Advertising and market research; other professional, scientific and technical activities; veterinary activities",3.0
AT,2017,"Advertising and market research; other professional, scientific and technical activities; veterinary activities",2.3
AT,2018,"Advertising and market research; other professional, scientific and technical activities; veterinary activities",1.7
AT,2019,"Advertising and market research; other professional, scientific and technical activities; veterinary activities",2.2
AT,2020,"Advertising and market research; other professional, scientific and technical activities; veterinary activities",-8.3
AT,2021,"Advertising and market research; other professional, scientific and technical activities; veterinary activities",5.2
AT,2022,"Advertising and market research; other professional, scientific and technical activities; veterinary activities",2.2
AT,2023,"Advertising and market research; other professional, scientific and technical activities; veterinary activities",3.7
AT,2024,"Advertising and market research; other professional, scientific and technical activities; veterinary activities",0.2
AT,2015,"Agriculture, forestry and fishing",-4.5
AT,2016,"Agriculture, forestry and fishing",-0.6
AT,2017,"Agriculture, forestry and fishing",-1.8
AT,2018,"Agriculture, forestry and fishing",-3.1
AT,2019,"Agriculture, forestry and fishing",-3.2
AT,2020,"Agriculture, forestry and fishing",6.0
AT,2021,"Agriculture, forestry and fishing",0.4
AT,2022,"Agriculture, forestry and fishing",-2.4
AT,2023,"Agriculture, forestry and fishing",-8.5
AT,2024,"Agriculture, forestry and fishing",-3.4
AT,2015,Air transport,8.2
AT,2016,Air transport,2.8
AT,2017,Air transport,8.0
AT,2018,Air transport,7.4
AT,2019,Air transport,2.9
AT,2020,Air transport,-10.7
AT,2021,Air transport,-10.1
AT,2022,Air transport,-8.9
AT,2023,Air transport,5.4
AT,2024,Air transport,6.2
AT,2015,Architectural and engineering activities; technical testing and analysis,-1.0
AT,2016,Architectural and engineering activities; technical testing and analysis,0.5
AT,2017,Architectural and engineering activities; technical testing and analysis,1.6
AT,2018,Architectural and engineering activities; technical testing and analysis,2.4
AT,2019,Architectural and engineering activities; technical testing and analysis,2.4
AT,2020,Architectural and engineering activities; technical testing and analysis,-6.4
AT,2021,Architectural and engineering activities; technical testing and analysis,7.7
AT,2022,Architectural and engineering activities; technical testing and analysis,-0.6
AT,2023,Architectural and engineering activities; technical testing and analysis,-1.4
AT,2024,Architectural and engineering activities; technical testing and analysis,-0.1
AT,2015,"Arts, entertainment and recreation",0.3
AT,2016,"Arts, entertainment and recreation",3.0
AT,2017,"Arts, entertainment and recreation",0.8
AT,2018,"Arts, entertainment and recreation",3.3
AT,2019,"Arts, entertainment and recreation",4.0
AT,2020,"Arts, entertainment and recreation",-25.2
AT,2021,"Arts, entertainment and recreation",15.1
AT,2022,"Arts, entertainment and recreation",9.0
AT,2023,"Arts, entertainment and recreation",1.5
AT,2024,"Arts, entertainment and recreation",-1.6
AT,2015,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",-1.2
AT,2016,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",2.0
AT,2017,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",5.0
AT,2018,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",4.5
AT,2019,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",2.2
AT,2020,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",-18.7
AT,2021,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",0.3
AT,2022,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",8.7
AT,2023,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",4.9
AT,2024,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",0.3
AT,2015,"Computer programming, consultancy, and information service activities",-1.4
AT,2016,"Computer programming, consultancy, and information service activities",3.3
AT,2017,"Computer programming, consultancy, and information service activities",6.1
AT,2018,"Computer programming, consultancy, and information service activities",6.2
AT,2019,"Computer programming, consultancy, and information service activities",6.0
AT,2020,"Computer programming, consultancy, and information service activities",-5.4
AT,2021,"Computer programming, consultancy, and information service activities",9.8
AT,2022,"Computer programming, consultancy, and information service activities",2.3
AT,2023,"Computer programming, consultancy, and information service activities",6.9
AT,2024,"Computer programming, consultancy, and information service activities",1.6
AT,2015,Construction,-0.5
AT,2016,Construction,0.6
AT,2017,Construction,2.1
AT,2018,Construction,2.0
AT,2019,Construction,3.9
AT,2020,Construction,-3.5
AT,2021,Construction,8.5
AT,2022,Construction,0.4
AT,2023,Construction,-1.7
AT,2024,Construction,-0.3
AT,2015,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",0.2
AT,2016,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",1.8
AT,2017,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",-0.7
AT,2018,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",2.3
