nazione,fascia_eta,misura,sesso,anno,valore
AT,Y15-24,Percentage of population in the labour force,F,2009,10.5
AT,Y15-24,Percentage of population in the labour force,F,2010,9.8
AT,Y15-24,Percentage of population in the labour force,F,2011,9.5
AT,Y15-24,Percentage of population in the labour force,F,2012,9.6
AT,Y15-24,Percentage of population in the labour force,F,2013,10.4
AT,Y15-24,Percentage of population in the labour force,F,2014,10.4
AT,Y15-24,Percentage of population in the labour force,F,2015,10.4
AT,Y15-24,Percentage of population in the labour force,F,2016,10.7
AT,Y15-24,Percentage of population in the labour force,F,2017,9.1
AT,Y15-24,Percentage of population in the labour force,F,2018,9.8
AT,Y15-24,Percentage of population in the labour force,F,2019,8.1
AT,Y15-24,Percentage of population in the labour force,F,2020,10.6
AT,Y15-24,Percentage of population in the labour force,F,2021,11.3
AT,Y15-24,Percentage of population in the labour force,F,2022,9.5
AT,Y15-24,Percentage of population in the labour force,F,2023,10.7
AT,Y15-24,Percentage of population in the labour force,F,2024,10.1
BA,Y15-24,Percentage of population in the labour force,F,2021,44.5
BA,Y15-24,Percentage of population in the labour force,F,2022,42.1
BA,Y15-24,Percentage of population in the labour force,F,2023,33.2
BA,Y15-24,Percentage of population in the labour force,F,2024,35.6
BE,Y15-24,Percentage of population in the labour force,F,2009,22.6
BE,Y15-24,Percentage of population in the labour force,F,2010,22.4
BE,Y15-24,Percentage of population in the labour force,F,2011,18.9
BE,Y15-24,Percentage of population in the labour force,F,2012,19.0
BE,Y15-24,Percentage of population in the labour force,F,2013,22.5
BE,Y15-24,Percentage of population in the labour force,F,2014,22.5
BE,Y15-24,Percentage of population in the labour force,F,2015,20.5
BE,Y15-24,Percentage of population in the labour force,F,2016,18.3
BE,Y15-24,Percentage of population in the labour force,F,2017,18.2
BE,Y15-24,Percentage of population in the labour force,F,2018,15.3
BE,Y15-24,Percentage of population in the labour force,F,2019,12.3
BE,Y15-24,Percentage of population in the labour force,F,2020,15.6
BE,Y15-24,Percentage of population in the labour force,F,2021,16.2
BE,Y15-24,Percentage of population in the labour force,F,2022,14.4
BE,Y15-24,Percentage of population in the labour force,F,2023,14.4
BE,Y15-24,Percentage of population in the labour force,F,2024,14.8
BG,Y15-24,Percentage of population in the labour force,F,2009,17.8
BG,Y15-24,Percentage of population in the labour force,F,2010,24.4
BG,Y15-24,Percentage of population in the labour force,F,2011,28.1
BG,Y15-24,Percentage of population in the labour force,F,2012,30.6
BG,Y15-24,Percentage of population in the labour force,F,2013,30.3
BG,Y15-24,Percentage of population in the labour force,F,2014,28.3
BG,Y15-24,Percentage of population in the labour force,F,2015,26.7
BG,Y15-24,Percentage of population in the labour force,F,2016,21.1
BG,Y15-24,Percentage of population in the labour force,F,2017,16.3
BG,Y15-24,Percentage of population in the labour force,F,2018,15.7
BG,Y15-24,Percentage of population in the labour force,F,2019,11.8
